test_input_id,base_case_id,input_factors,model_output,hard_gate_pass,rating,review_reason,latency_ms,detected_route,executed_route,llm_call_count,fallback_used,prompt_version,model,commit
chat-01-noise-01,chat-01,filler_words+lexical_repetition+missing_punctuation,,,,,,,,,,,,
chat-02-noise-01,chat-02,self_correction+false_start+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
chat-03-noise-01,chat-03,lexical_repetition+semantic_repetition+missing_punctuation,,,,,,,,,,,,
chat-04-noise-01,chat-04,wrong_punctuation+wrong_sentence_boundary+ambiguous_reference,,,,,,,,,,,,
chat-05-noise-01,chat-05,filler_words+self_correction+list_count_change+missing_punctuation,,,,,,,,,,,,
work-01-noise-01,work-01,homophone_entity_error+accidental_space+lexical_repetition+missing_punctuation,,,,,,,,,,,,
work-01-noise-02,work-01,homophone_entity_error+mixed_language_tokenization,,,,,,,,,,,,
work-02-noise-01,work-02,self_correction+fact_correction+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
work-03-noise-01,work-03,disordered_content+false_start+unfinished_fragment+missing_punctuation,,,,,,,,,,,,
work-04-noise-01,work-04,filler_words+semantic_repetition+missing_punctuation,,,,,,,,,,,,
work-05-noise-01,work-05,explicit_aside+meta_instruction+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
email-01-noise-01,email-01,filler_words+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
email-03-noise-01,email-03,self_correction+false_start+fact_correction,,,,,,,,,,,,
email-04-noise-01,email-04,accidental_space+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
email-05-noise-01,email-05,disordered_content+semantic_repetition+missing_punctuation,,,,,,,,,,,,
note-01-noise-01,note-01,filler_words+semantic_repetition+missing_punctuation,,,,,,,,,,,,
note-02-noise-01,note-02,wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
note-03-noise-01,note-03,disordered_content+false_start+unfinished_fragment,,,,,,,,,,,,
note-05-noise-01,note-05,unfinished_fragment+mixed_language_tokenization+ambiguous_reference,,,,,,,,,,,,
prompt-02-noise-01,prompt-02,mixed_language_tokenization+accidental_space+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
prompt-05-noise-01,prompt-05,self_correction+fact_correction+lexical_repetition+missing_punctuation,,,,,,,,,,,,
social-02-noise-01,social-02,semantic_repetition+false_start+wrong_sentence_boundary,,,,,,,,,,,,
social-04-noise-01,social-04,explicit_aside+meta_instruction+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
code-01-noise-01,code-01,mixed_language_tokenization+accidental_space+dictated_symbols,,,,,,,,,,,,
code-03-noise-01,code-03,self_correction+fact_correction+list_count_change+mixed_language_tokenization+dictated_symbols+missing_punctuation,,,,,,,,,,,,
support-02-noise-01,support-02,self_correction+false_start+fact_correction+missing_punctuation,,,,,,,,,,,,
support-04-noise-01,support-04,explicit_aside+meta_instruction+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
support-05-noise-01,support-05,ambiguous_reference+missing_punctuation+wrong_punctuation+wrong_sentence_boundary,,,,,,,,,,,,
chat-01-stutter-01,chat-01,stutter_repetition,,,,,,,,,,,,
chat-04-stutter-01,chat-04,stutter_repetition,,,,,,,,,,,,
work-04-stutter-01,work-04,stutter_repetition,,,,,,,,,,,,
email-01-stutter-01,email-01,stutter_repetition,,,,,,,,,,,,
note-01-stutter-01,note-01,stutter_repetition,,,,,,,,,,,,
prompt-02-stutter-01,prompt-02,stutter_repetition,,,,,,,,,,,,
social-03-stutter-01,social-03,stutter_repetition,,,,,,,,,,,,
support-05-stutter-01,support-05,stutter_repetition,,,,,,,,,,,,
code-03-stutter-01,code-03,stutter_repetition,,,,,,,,,,,,
